service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
13234,1,1,1,1,1,0,0,20190301,20200401
13235,0,0,0,0,0,1,0,20190301,20200401
13236,0,0,0,0,0,0,1,20190301,20200401
12809,0,0,0,0,0,1,0,20190110,20200401
12808,1,1,1,1,1,0,0,20181101,20200401
12810,0,0,0,0,0,0,1,20181101,20200401
13024,1,1,1,1,1,0,0,20181208,20200401
13025,0,0,0,0,0,1,0,20181208,20200401
13026,0,0,0,0,0,0,1,20181208,20200401
13225,1,1,1,1,1,0,0,20190301,20200401
13226,0,0,0,0,0,1,0,20190301,20200401
13227,0,0,0,0,0,0,1,20190301,20200401
13027,1,1,1,1,1,0,0,20181208,20200401
13028,0,0,0,0,0,1,0,20181208,20200401
13029,0,0,0,0,0,0,1,20181208,20200401
13325,1,1,1,1,1,0,0,20190401,20200401
13326,0,0,0,0,0,1,0,20190401,20200401
13327,0,0,0,0,0,0,1,20190401,20200401
11951,1,1,1,1,1,0,0,20180414,20200401
11952,0,0,0,0,0,1,1,20180414,20200401
13314,1,1,1,1,1,0,0,20190323,20200401
13315,0,0,0,0,0,1,0,20190323,20200401
13316,0,0,0,0,0,0,1,20190323,20200401
13237,1,1,1,1,1,0,0,20190301,20200401
13238,0,0,0,0,0,1,0,20190301,20200401
13239,0,0,0,0,0,0,1,20190301,20200401
12814,1,1,1,1,1,0,0,20181101,20200401
12815,0,0,0,0,0,1,0,20181101,20200401
12816,0,0,0,0,0,0,1,20181101,20200401
13231,1,1,1,1,1,0,0,20190301,20200401
13232,0,0,0,0,0,1,0,20190301,20200401
13233,0,0,0,0,0,0,1,20190301,20200401
13319,0,0,0,0,0,1,0,20190323,20200401
13324,0,0,0,0,0,0,1,20190323,20200401
13240,1,1,1,1,1,0,0,20190301,20200401
12730,0,0,0,0,0,0,1,20181001,20200401
11852,1,1,1,1,1,0,0,20180310,20200401
11853,0,0,0,0,0,1,0,20180310,20200401
13033,1,1,1,1,1,0,0,20181208,20200401
12732,0,0,0,0,0,0,1,20181001,20200401
12367,0,0,0,0,0,1,0,20180804,20200401
13242,1,1,1,1,1,0,0,20190301,20200401
13243,0,0,0,0,0,1,0,20190301,20200401
13244,0,0,0,0,0,0,1,20190301,20200401
12009,0,0,0,0,0,1,1,20181217,20200401
12756,1,1,1,1,1,0,0,20181020,20200401
13328,0,0,0,0,0,0,1,20190401,20200401
13034,1,1,1,1,1,0,0,20181208,20200401
13035,0,0,0,0,0,1,0,20181208,20200401
12757,1,1,1,1,1,0,0,20181020,20200401
12758,0,0,0,0,0,1,0,20181020,20200401
12759,0,0,0,0,0,0,1,20181020,20200401
12760,1,1,1,1,1,0,0,20181020,20200401
12273,0,0,0,0,0,1,0,20180701,20200401
12274,0,0,0,0,0,0,1,20180701,20200401
12275,1,1,1,1,1,1,0,20180701,20200401
12276,0,0,0,0,0,0,1,20180701,20200401
13037,1,1,1,1,1,0,0,20181208,20200401
13038,0,0,0,0,0,1,0,20181208,20200401
13039,0,0,0,0,0,0,1,20181208,20200401
13329,1,1,1,1,1,0,0,20190401,20200401
12503,0,0,0,0,0,1,0,20180901,20200401
12504,0,0,0,0,0,0,1,20180901,20200401
13040,1,1,1,1,1,0,0,20181208,20200401
13041,0,0,0,0,0,1,0,20181208,20200401
13042,0,0,0,0,0,0,1,20181208,20200401
13043,1,1,1,1,1,0,0,20181208,20200401
13044,0,0,0,0,0,1,0,20181208,20200401
13045,0,0,0,0,0,0,1,20181208,20200401
13245,1,1,1,1,1,0,0,20190301,20200401
13285,0,0,0,0,0,1,0,20190301,20200401
13246,0,0,0,0,0,1,0,20190301,20200401
13247,0,0,0,0,0,0,1,20190301,20200401
13248,1,1,1,1,1,0,0,20190301,20200401
13249,0,0,0,0,0,1,0,20190301,20200401
13250,0,0,0,0,0,0,1,20190301,20200401
13251,1,1,1,1,1,0,0,20190301,20200401
13252,0,0,0,0,0,1,0,20190301,20200401
13253,0,0,0,0,0,0,1,20190301,20200401
13254,1,1,1,1,1,0,0,20190301,20200401
13255,0,0,0,0,0,1,0,20190301,20200401
13256,0,0,0,0,0,0,1,20190301,20200401
13257,1,1,1,1,1,0,0,20190301,20200401
13268,1,1,1,1,1,0,0,20190301,20200401
13278,1,1,1,1,1,0,0,20190301,20200401
13258,0,0,0,0,0,1,0,20190301,20200401
13259,0,0,0,0,0,0,1,20190301,20200401
11859,1,1,1,1,1,0,0,20180310,20200401
11860,0,0,0,0,0,1,0,20180310,20200401
11861,0,0,0,0,0,0,1,20180310,20200401
13046,1,1,1,1,1,0,0,20181208,20200401
12740,0,0,0,0,0,1,1,20181008,20200401
13048,0,0,0,0,0,1,0,20190110,20200401
13047,1,1,1,1,1,0,0,20181208,20200401
13049,0,0,0,0,0,0,1,20181208,20200401
13260,1,1,1,1,1,0,0,20190301,20200401
13261,0,0,0,0,0,1,1,20190301,20200401
13262,1,1,1,1,1,0,0,20190301,20200401
13263,0,0,0,0,0,1,0,20190301,20200401
13264,0,0,0,0,0,0,1,20190301,20200401
13201,1,1,1,1,1,0,0,20190301,20200401
13202,0,0,0,0,0,1,0,20190301,20200401
13203,0,0,0,0,0,0,1,20190301,20200401
13050,1,1,1,1,1,0,0,20181208,20200401
13051,0,0,0,0,0,1,0,20181208,20200401
13052,0,0,0,0,0,0,1,20181208,20200401
13204,1,1,1,1,1,0,0,20190301,20200401
13205,0,0,0,0,0,1,0,20190301,20200401
13206,0,0,0,0,0,0,1,20190301,20200401
12824,0,0,0,0,0,1,0,20181217,20200401
12825,0,0,0,0,0,0,1,20181217,20200401
12823,1,1,1,1,1,0,0,20181101,20200401
13053,1,1,1,1,1,0,0,20181208,20200401
13054,0,0,0,0,0,1,0,20181208,20200401
13055,0,0,0,0,0,0,1,20181208,20200401
12826,1,1,1,1,1,0,0,20181101,20200401
12827,0,0,0,0,0,1,0,20181101,20200401
12828,0,0,0,0,0,0,1,20181101,20200401
12829,1,1,1,1,1,0,0,20181101,20200401
12830,0,0,0,0,0,1,0,20181101,20200401
12831,0,0,0,0,0,0,1,20181101,20200401
13056,1,1,1,1,1,0,0,20181208,20200401
13057,0,0,0,0,0,1,0,20181208,20200401
13058,0,0,0,0,0,0,1,20181208,20200401
12682,1,1,1,1,1,0,0,20180917,20200401
